Title,Premiere,Rated,imdb_rating,imdb_votes,imdb_genre,imdb_year,imdb_type
Running Point,2025-02-27,TV-MA,7.3,23456.0,"Comedy, Sport",2025,series
The Four Seasons,2025-05-01,TV-MA,7.2,24348.0,"Comedy, Romance",2025,series
Bad Thoughts,2025-05-13,TV-MA,6.2,6556.0,Comedy,2025,series
Miss Governor,2025-05-22,TV-MA,4.8,896.0,Comedy,2023,series
Leanne,2025-07-31,TV-MA,7.1,4554.0,Comedy,2025,series
How to Get to Heaven from Belfast,2026-02-12,TV-MA,7.4,4607.0,"Comedy, Thriller",2026,series
Big Mistakes,2026-04-09,TV-MA,7.2,4448.0,"Comedy, Crime",2026,series
One Piece,2023-08-31,TV-14,9.0,350970.0,"Animation, Action, Adventure",1999,series
Avatar: The Last Airbender,2024-02-22,TV-Y7-FV,9.3,432739.0,"Animation, Action, Adventure",2005,series
Geek Girl,2024-05-30,TV-PG,6.7,8072.0,"Comedy, Drama",2024,series
Blue Eye Samurai,2023-11-03,TV-MA,8.7,101210.0,"Animation, Action, Adventure",2023,series
Devil May Cry,2025-04-03,TV-MA,7.4,30949.0,"Animation, Action, Adventure",2025,series
Long Story Short,2025-08-22,R,6.6,7250.0,"Comedy, Fantasy, Romance",2021,movie
Haunted Hotel,2025-09-19,TV-MA,7.7,3024.0,"Animation, Comedy, Horror",2025,series
Mating Season,2026-05-22,N/A,7.1,15.0,"Short, Comedy",2005,movie
Record of Ragnarok,2021-06-17,TV-14,6.5,10772.0,"Animation, Action, Adventure",2021,series
Pokémon Concierge,2023-12-28,TV-PG,7.5,3137.0,"Animation, Short, Adventure",2023,series
Leviathan,2025-07-10,R,7.6,59296.0,"Crime, Drama",2014,movie
Splinter Cell: Deathwatch,2025-10-14,TV-MA,6.9,4256.0,"Animation, Action, Adventure",2025,series
Love Through a Prism,2026-01-15,TV-PG,8.3,1239.0,"Animation, Drama, History",2026,series
Dandelion,2026-04-16,R,6.8,2028.0,"Drama, Romance",2004,movie
Trash Truck,2020-11-10,TV-Y,8.6,1010.0,"Animation, Family",2020,series
Gabby's Dollhouse,2021-01-05,G,5.5,2474.0,"Animation, Adventure, Comedy",2025,movie
The Creature Cases,2022-04-12,TV-Y,7.6,306.0,"Animation, Action, Adventure",2022,series
Cocomelon Lane,2023-11-17,TV-Y,3.9,896.0,"Animation, Comedy, Family",2023,series
Barbie Mysteries,2024-11-01,TV-Y,6.5,39.0,"Animation, Adventure, Comedy",2024,series
"Dr. Seuss's Red Fish, Blue Fish",2025-09-08,TV-G,7.3,42.0,"Animation, Adventure, Comedy",2025,series
Unicorn Academy: Secrets Revealed,2026-03-19,N/A,8.2,74.0,"Animation, Adventure, Comedy",2026,series
Stranger Things: Tales from '85,2026-04-23,TV-PG,5.8,6215.0,"Animation, Adventure, Drama",2026,series
Roosters,2025-02-28,TV-MA,6.8,579.0,Comedy,2025,series
Football Parents,2025-05-16,TV-MA,6.1,803.0,"Comedy, Sport",2025,series
Lupin,2021-01-08,TV-MA,7.5,154909.0,"Action, Crime, Drama",2021,series
Blood Coast,2023-12-06,TV-MA,7.0,2879.0,"Action, Crime, Drama",2023,series
Furies,2024-03-01,TV-MA,6.3,3994.0,"Action, Crime, Drama",2024,series
The Cage,2024-11-08,TV-MA,6.5,2684.0,"Biography, Drama, Sport",2024,series
Under a Dark Sun,2025-07-09,TV-MA,5.9,1722.0,"Crime, Drama, Mystery",2025,series
Young Millionaires,2025-08-13,TV-MA,5.8,813.0,"Comedy, Drama",2025,series
Néro the Assassin,2025-10-08,TV-MA,6.8,3713.0,"Action, Adventure, Drama",2025,series
Bandi,2026-04-09,N/A,6.5,613.0,"Crime, Drama",2026,series
Flunked,2026-04-23,N/A,4.1,19.0,Comedy,2019,series
The Empress,2022-09-29,TV-MA,7.8,20249.0,"Drama, History, Romance",2022,series
Crooks,2024-04-04,TV-MA,7.0,3917.0,"Action, Crime, Drama",2024,series
