Title,Premiere
Dolly Parton: A MusiCares Tribute,2021-04-07
Why Did You Kill Me?,2021-04-14
Chadwick Boseman: Portrait of an Artist,2021-04-17
Searching for Sheela,2021-04-22
Nail Bomber: Manhunt,2021-05-26
Breaking Boundaries: The Science of Our Planet,2021-06-04
Kitty Love: An Homage to Cats,2021-06-05
Murder by the Coast,2021-06-23
Sisters on Track,2021-06-24
Audible,2021-07-01
Private Network: Who Killed Manuel Buendia?,2021-07-14
Pray Away,2021-08-03
Shiny_Flakes: The Teenage Drug Lord,2021-08-03
Untold: Malice at the Palace,2021-08-10
Untold: Deal with the Devil,2021-08-17
Memories of a Murderer: The Nilsen Tapes,2021-08-18
Untold: Caitlyn Jenner,2021-08-24
"Bob Ross: Happy Accidents, Betrayal & Greed",2021-08-25
Untold: Crimes & Penalties,2021-08-31
Untold: Breaking Point,2021-09-07
Blood Brothers: Malcolm X & Muhammad Ali,2021-09-09
The Women and the Murderer,2021-09-09
Schumacher,2021-09-15
My Heroes Were Cowboys,2021-09-16
Britney vs Spears,2021-09-28
Convergence: Courage in a Crisis,2021-10-12
Making Malinche: A Documentary by Nacho Cano,2021-10-12
Found,2021-10-20
Flip a Coin – One OK Rock Documentary,2021-10-21
Lords of Scam,2021-11-03
A Cop Movie,2021-11-05
Procession,2021-11-19
Angèle,2021-11-26
14 Peaks: Nothing Is Impossible,2021-11-29
Lead Me Home,2021-11-30
137 Shots,2021-12-15
Puff: Wonders of the Reef,2021-12-16
To All the Boys: Always and Forever – The Afterparty,2021-02-13
Creating an Army of the Dead,2021-05-22
Emicida: AmarElo – Live in São Paulo,2021-07-15
Monster Hunter: Legends of the Guild,2021-08-12
Attack of the Hollywood Clichés!,2021-09-28
Escape the Undertaker,2021-10-05
Sex: Unzipped,2021-10-26
Robin Robin,2021-11-24
Death to 2021,2021-12-27
Four to Dinner,2022-01-05
The Wasteland,2022-01-06
How I Fell in Love with a Gangster,2022-01-12
Brazen,2022-01-13
Photocopier,2022-01-13
This Is Not a Comedy,2022-01-14
The Royal Treatment,2022-01-20
Amandla,2022-01-21
Munich – The Edge of War,2022-01-21
My Father's Violin,2022-01-21
Home Team,2022-01-28
Looop Lapeta,2022-02-04
Through My Window,2022-02-04
The Privilege,2022-02-09
Into the Wind,2022-02-10
Bigbug,2022-02-11
Love and Leashes,2022-02-11
Love Tactics,2022-02-11
Tall Girl 2,2022-02-11
Fistful of Vengeance,2022-02-17
Texas Chainsaw Massacre,2022-02-18
Rabbids Invasion: Mission to Mars,2022-02-18
UFO,2022-02-23
A Madea Homecoming,2022-02-25
Restless,2022-02-25
Against the Ice,2022-03-02
The Weekend Away,2022-03-03
The Invisible Thread,2022-03-04
The Adam Project,2022-03-11
Rescued by Ruby,2022-03-17
Black Crab,2022-03-18
Without Saying Goodbye,2022-03-18
Windfall,2022-03-18
In Good Hands,2022-03-21
Love Like the Falling Petals,2022-03-24
All Hail,2022-03-30
Apollo 10 1⁄2: A Space Age Childhood,2022-04-01
Battle: Freestyle,2022-04-01
The Bubble,2022-04-01
Cobalt Blue,2022-04-02
Dancing on Glass,2022-04-08
Metal Lords,2022-04-08
Yaksha: Ruthless Operations,2022-04-08
The Taming of the Shrewd,2022-04-13
Choose or Die,2022-04-15
Man of God,2022-04-16
The Turning Point,2022-04-20
Honeymoon with My Mother,2022-04-22
365 Days: This Day,2022-04-27
Silverton Siege,2022-04-27
Bubble,2022-04-28
Rumspringa – An Amish in Berlin,2022-04-29
Along for the Ride,2022-05-06
The Takedown,2022-05-06
Thar,2022-05-06
Senior Year,2022-05-13
Toscana,2022-05-18
A Perfect Pairing,2022-05-19
F*ck Love Too,2022-05-20
Godspeed,2022-05-23
Interceptor,2022-06-03
Hustle,2022-06-08
Trees of Peace,2022-06-10
Centauro,2022-06-15
Heart Parade,2022-06-15
The Wrath of God,2022-06-15
Spiderhead,2022-06-17
Doom of Love,2022-06-20
Love & Gelato,2022-06-22
Blasted,2022-06-28
Beauty,2022-06-29
"Hello, Goodbye, and Everything in Between",2022-07-06
Dangerous Liaisons,2022-07-08
Jewel,2022-07-08
The Sea Beast,2022-07-08
For Jojo,2022-07-11
Under the Amalfi Sun,2022-07-13
Jaadugar,2022-07-15
Persuasion,2022-07-15
The Gray Man,2022-07-22
Recurrence,2022-07-27
A Cut Above,2022-07-28
The Entitled,2022-07-29
Purple Hearts,2022-07-29
Buba,2022-08-03
Don't Blame Karma!,2022-08-03
Wedding Season,2022-08-04
Carter,2022-08-05
Darlings,2022-08-05
Rise of the Teenage Mutant Ninja Turtles: The Movie,2022-08-05
Heartsong,2022-08-10
13: The Musical,2022-08-12
Day Shift,2022-08-12
Look Both Ways,2022-08-17
Royalteen,2022-08-17
The Next 365 Days,2022-08-19
That's Amor,2022-08-25
Loving Adults,2022-08-26
Me Time,2022-08-26
Seoul Vibe,2022-08-26
I Came By,2022-08-31
Fenced in,2022-09-01
Love in the Villa,2022-09-01
The Festival of Troubadours,2022-09-02
End of the Road,2022-09-09
No Limit,2022-09-09
